LAT,LON,X,Y,L,W,D,SLIP,RAKE,STRIKE,DIP
40.6401,142.6242,14.6434,254.3758,25,20,37.6811,2.2877,77.7157,194,10.21
40.4222,142.5528,8.4134,230.1644,25,20,37.6811,2.5565,79.8329,194,10.21
40.2043,142.4813,2.1835,205.9531,25,20,37.6811,6.0291,62.7871,194,10.21
39.9864,142.4098,-4.0464,181.7418,25,20,37.6811,3.4321,97.7318,194,10.21
39.7686,142.3383,-10.2763,157.5305,25,20,37.6811,0.166,101.174,194,10.21
39.5507,142.2668,-16.5063,133.3191,25,20,37.6811,5.7395,86.8991,194,10.21
39.3328,142.1953,-22.7362,109.1078,25,20,37.6811,6.0425,63.8599,194,10.21
39.1149,142.1238,-28.9661,84.8965,25,20,37.6811,6.3977,79.9804,194,10.21
38.897,142.0523,-35.196,60.6852,25,20,37.6811,7.5456,62.2134,194,10.21
38.6791,141.9808,-41.4259,36.4739,25,20,37.6811,10.494,63.3923,194,10.21
38.4613,141.9093,-47.6559,12.2625,25,20,37.6811,9.6253,67.6968,194,10.21
38.2434,141.8379,-53.8858,-11.9488,25,20,37.6811,6.5655,65.2101,194,10.21
38.0255,141.7664,-60.1157,-36.1601,25,20,37.6811,3.7049,69.8962,194,10.21
37.8076,141.6949,-66.3456,-60.3714,25,20,37.6811,3.0888,54.7064,194,10.21
37.5897,141.6234,-72.5755,-84.5827,25,20,37.6811,0.3075,121.7697,194,10.21
37.3718,141.5519,-78.8055,-108.7941,25,20,37.6811,1.6414,122.3264,194,10.21
37.1539,141.4804,-85.0354,-133.0054,25,20,37.6811,5.3796,58.345,194,10.21
36.9361,141.4089,-91.2653,-157.2167,25,20,37.6811,4.3456,51.7203,194,10.21
36.7182,141.3374,-97.4952,-181.428,25,20,37.6811,0.3605,89.9905,194,10.21
36.5003,141.2659,-103.7251,-205.6394,25,20,37.6811,0.8077,98.4702,194,10.21
36.2824,141.1944,-109.9551,-229.8507,25,20,37.6811,1.6074,102.6394,194,10.21
36.0645,141.1229,-116.185,-254.062,25,20,37.6811,0.0489,115.1713,194,10.21
35.8466,141.0515,-122.4149,-278.2733,25,20,37.6811,2.9998,57.5038,194,10.21
35.6288,140.98,-128.6448,-302.4846,25,20,37.6811,2.9132,55.3374,194,10.21
40.9021,142.477,1.8109,283.4921,25,20,41.2262,1.3294,53.3451,194,10.21
40.6842,142.4055,-4.419,259.2808,25,20,41.2262,0.5047,80.9198,194,10.21
40.4664,142.334,-10.6489,235.0694,25,20,41.2262,4.4153,74.5204,194,10.21
40.2485,142.2625,-16.8788,210.8581,25,20,41.2262,7.1996,53.1251,194,10.21
40.0306,142.191,-23.1088,186.6468,25,20,41.2262,0.8631,55.3149,194,10.21
39.8127,142.1195,-29.3387,162.4355,25,20,41.2262,0.4522,73.6154,194,10.21
39.5948,142.048,-35.5686,138.2242,25,20,41.2262,5.5606,77.8546,194,10.21
39.3769,141.9766,-41.7985,114.0128,25,20,41.2262,5.987,75.8811,194,10.21
39.159,141.9051,-48.0284,89.8015,25,20,41.2262,2.6403,74.4382,194,10.21
